Gene ID,Fold Change
218111_s_at,-2.60E+00
209187_at,-2.60E+00
209112_at,-2.60E+00
201360_at,-2.60E+00
206008_at,-2.60E+00
201567_s_at,-2.60E+00
206989_s_at,-2.60E+00
213068_at,-2.60E+00
201413_at,-2.60E+00
208666_s_at,-2.60E+00
202026_at,-2.50E+00
205619_s_at,-2.50E+00
205470_s_at,-2.50E+00
209355_s_at,-2.50E+00
209067_s_at,-2.50E+00
214665_s_at,-2.50E+00
221045_s_at,-2.50E+00
209649_at,-2.50E+00
202790_at,-2.50E+00
210962_s_at,-2.50E+00
202675_at,-2.50E+00
202933_s_at,-2.50E+00
209106_at,-2.50E+00
209047_at,-2.50E+00
204570_at,-2.50E+00
219985_at,-2.50E+00
202607_at,-2.50E+00
201612_at,-2.50E+00
201948_at,-2.50E+00
201066_at,-2.50E+00
210691_s_at,-2.50E+00
201738_at,-2.50E+00
202573_at,-2.50E+00
210202_s_at,-2.50E+00
202900_s_at,-2.50E+00
201118_at,-2.50E+00
202609_at,-2.50E+00
204753_s_at,-2.50E+00
201928_at,-2.50E+00
205969_at,-2.50E+00
214882_s_at,-2.50E+00
216733_s_at,-2.50E+00
204952_at,-2.50E+00
214359_s_at,-2.50E+00
207741_x_at,-2.50E+00
209135_at,-2.50E+00
217870_s_at,-2.50E+00
205022_s_at,-2.50E+00
205260_s_at,-2.50E+00
203430_at,-2.50E+00
202614_at,-2.50E+00
208754_s_at,-2.50E+00
217816_s_at,-2.50E+00
202424_at,-2.50E+00
208783_s_at,-2.50E+00
218677_at,-2.50E+00
206770_s_at,-2.50E+00
202890_at,-2.50E+00
209071_s_at,-2.50E+00
219764_at,-2.50E+00
207826_s_at,-2.50E+00
210512_s_at,-2.50E+00
202409_at,-2.50E+00
204286_s_at,-2.50E+00
201247_at,-2.50E+00
212983_at,-2.50E+00
218490_s_at,-2.40E+00
207381_at,-2.40E+00
217738_at,-2.40E+00
214113_s_at,-2.40E+00
210605_s_at,-2.40E+00
201862_s_at,-2.40E+00
202003_s_at,-2.40E+00
203232_s_at,-2.40E+00
202769_at,-2.40E+00
200094_s_at,-2.40E+00
204143_s_at,-2.40E+00
200793_s_at,-2.40E+00
202133_at,-2.40E+00
208310_s_at,-2.40E+00
214279_s_at,-2.40E+00
205319_at,-2.40E+00
201661_s_at,-2.40E+00
222104_x_at,-2.40E+00
219939_s_at,-2.40E+00
214549_x_at,-2.40E+00
204194_at,-2.40E+00
206177_s_at,-2.40E+00
202850_at,-2.40E+00
202546_at,-2.40E+00
209250_at,-2.40E+00
206095_s_at,-2.40E+00
207196_s_at,-2.40E+00
